Minimalni Kostra po Komponentach

Komponenta, Vrchol1, Vrchol2
 
4 644 460
6 504 892
7 461 222
7 814 274
11 798 56
11 912 244
11 195 962
12 376 656
15 854 360
18 818 651
18 680 806
19 588 96
19 931 225
19 853 434
20 990 492
20 360 518
20 722 865
26 14 32
26 639 769
27 453 750
27 537 956
30 682 602
31 662 280
33 803 897
34 961 982
35 377 756
36 980 993
36 474 995
37 848 906
38 1 142
39 491 232
40 451 178
41 852 421
42 633 301
43 851 217
43 507 334
43 181 358
43 383 849
44 805 256
47 822 437
48 567 89
48 292 724
50 637 519
50 326 950
54 572 252
55 889 226
55 705 372
55 225 599
59 942 778
60 594 169
60 359 914
62 376 57
62 845 190
63 896 680
64 919 308
66 634 300
66 781 922
67 799 796
68 836 762
69 172 474
69 415 691
69 503 808
70 194 9
70 431 577
71 106 417
72 400 448
72 436 542
72 212 606
72 705 708
72 511 933
73 597 637
75 161 888
76 742 436
76 224 584
80 235 511
80 213 958
82 999 231
82 141 404
84 285 532
84 115 669
85 630 788
85 791 988
88 883 883
88 564 948
89 672 527
89 18 827
90 800 216
90 166 932
90 1 939
91 921 295
91 563 582
91 114 775
91 13 855
93 664 946
94 186 29
94 578 49
95 326 315
97 7 3
98 394 35
98 157 433
98 800 727
98 712 747
99 541 399
100 399 165
102 37 248
103 42 412
104 973 624
106 957 332
108 309 63
108 892 267
108 299 523
108 486 965
109 923 639
110 397 375
110 137 974
112 810 407
112 693 924
115 850 426
120 215 959
122 342 725
125 419 117
125 714 203
126 116 896
128 124 869
129 388 45
129 427 887
132 308 182
132 876 821
133 879 449
134 440 572
135 853 766
136 193 53
136 244 722
137 411 146
137 652 486
138 391 649
139 320 645
139 861 752
143 541 473
143 384 825
144 694 841
144 734 899
146 440 64
147 651 206
147 724 764
147 237 879
149 773 418
149 562 462
150 125 75
151 115 159
153 178 435
154 326 828
159 278 210
160 61 79
160 80 780
161 168 562
162 521 381
162 145 757
163 706 687
164 535 362
165 275 384
165 572 710
169 615 607
170 541 74
171 505 783
172 824 677
173 151 180
173 427 580
173 995 589
175 662 163
176 509 179
178 400 550
179 219 560
179 333 833
180 37 629
181 334 42
181 879 227
184 57 875
184 500 881
185 39 154
186 913 38
187 42 489
188 56 26
188 151 503
189 496 103
189 158 465
189 563 787
193 584 282
193 903 480
193 788 481
193 434 592
194 716 347
197 565 601
199 139 674
200 260 658
201 800 611
204 333 291
204 134 335
204 844 609
209 720 816
210 124 365
214 56 242
215 117 521
217 288 149
218 7 894
220 835 8
223 198 221
223 408 937
225 30 736
226 454 68
226 179 616
228 119 574
228 321 910
229 213 385
230 734 289
231 893 337
232 293 66
232 647 507
232 879 570
234 814 223
234 427 440
237 238 101
237 101 873
239 665 466
239 757 593
240 555 754
243 91 450
245 832 755
247 381 555
249 286 220
249 789 812
252 189 767
253 736 287
253 932 316
253 818 581
253 53 683
255 156 686
256 497 565
256 500 842
257 18 333
264 338 33
264 470 522
265 792 322
266 205 140
266 429 890
267 791 150
267 519 151
269 725 325
270 537 491
270 152 774
272 81 277
272 691 359
273 478 214
274 858 621
275 4 183
276 646 455
279 141 735
279 609 900
281 727 496
285 751 692
285 868 716
286 712 130
287 779 71
287 110 477
291 122 67
291 286 224
298 848 253
299 215 147
299 362 172
300 396 479
300 984 578
300 813 640
302 697 872
304 170 369
307 150 141
308 926 229
308 619 290
309 528 470
310 952 697
311 813 467
313 399 389
313 271 424
314 132 279
314 924 952
315 488 497
315 834 771
316 79 90
316 677 590
317 625 108
318 800 805
